#  | Insider              | Date       | Code | D/ND | Shares     | PriceReq? | PriceSrc | FN? | 10b5-1? | Late? | FSL | Signal
---+----------------------+------------+------+------+------------+-----------+----------+-----+---------+-------+-----+-------
75 | Campion Andrew       | 2020-05-27 | M    | D    | 60,000     | Y         | derived  | Y   | N       | N     | A   | 0.05  
76 | Krane Hilary K       | 2020-04-17 | M    | D    | 11,000     | Y         | derived  | Y   | N       | N     | A   | 0.05  
77 | Connors John G       | 2020-03-27 | M    | D    | 24,000     | Y         | derived  | Y   | N       | N     | A   | 0.05  
78 | PARKER MARK G        | 2020-03-02 | M    | D    | 122,224    | Y         | derived  | Y   | N       | N     | A   | 0.05  
79 | PARKER MARK G        | 2020-03-02 | M    | D    | 17,574     | Y         | derived  | Y   | N       | N     | A   | 0.05  
80 | PARKER MARK G        | 2020-03-02 | M    | D    | 24,602     | Y         | derived  | Y   | N       | N     | A   | 0.05  
81 | PARKER MARK G        | 2020-03-02 | M    | D    | 600        | Y         | derived  | Y   | N       | N     | A   | 0.05  
82 | Matheson Monique S.  | 2020-01-22 | M    | D    | 8,500      | Y         | derived  | Y   | N       | N     | A   | 0.05  
83 | Donahoe John J       | 2020-01-13 | A    | ND   | 206,539    | N         | missing  | Y   | N       | N     | A   | 0.05  
84 | Donahoe John J       | 2020-01-13 | A    | D    | 236,843    | N         | derived  | Y   | N       | N     | A   | 0.05  
85 | Donahoe John J       | 2020-01-13 | A    | D    | 767,544    | N         | derived  | Y   | N       | N     | A   | 0.05  
86 | Krane Hilary K       | 2020-01-13 | M    | D    | 28,000     | Y         | derived  | Y   | N       | N     | A   | 0.05  
87 | Slusher John F       | 2020-01-10 | M    | D    | 108,725    | Y         | derived  | Y   | N       | N     | A   | 0.05  
88 | Slusher John F       | 2020-01-10 | M    | D    | 1,275      | Y         | derived  | Y   | N       | N     | A   | 0.05  
89 | Hill Elliott         | 2020-01-07 | M    | D    | 90,000     | Y         | derived  | Y   | N       | N     | A   | 0.05  
90 | COOK TIMOTHY D       | 2020-01-02 | M    | D    | 7,000      | Y         | derived  | Y   | N       | N     | A   | 0.05  
91 | COOK TIMOTHY D       | 2020-01-02 | M    | D    | 17,000     | Y         | derived  | Y   | N       | N     | A   | 0.05  
92 | Matheson Monique S.  | 2020-01-02 | M    | D    | 16,500     | Y         | derived  | Y   | N       | N     | A   | 0.05  
